ID,FINAL_TYPE,KIC,KIC_STATUS,NEW DETECTION,NAME,GAIA_ID,DEMARCHI2007_ID,DEMARCHI2007_VARTYPE,DEMARCHI2007_MEMBER,VARIABILITY_TYPE,MEMBER,CMD,PERIOD,Peph,Q_PHASED,PHASED_LC,FT,COORDINATES,RA,DEC,DIST,P0eph,T0eph,LINK,SOURCEID,FREQUENCY,PMRA,PMRAERR,PMDEC,PMDECERR,PLX,PLXERR,zero_point_plx,GMAG,BP_RP,J_M,H_M,K_M,B,BERR,V,VERR,I,IERR,g,gerr,r,rerr,i,ierr,z,zerr,y,yerr,USED_SPEC,Teff,logg,Rv,Fe/H,proj_ref_astroserver,HECTOSPEC,ESO,LAMOST,SDSS,APOGEE,INT,XT_LINK,XT_Teff,XT_Tefferr,XT_logg,XT_loggerr,XT_Rv,XT_Rverr,[M/H],XT_class,WOCS_LIX,CLASS,RV,RVERR,TEFF,RV_APG,RVSCT_APG,TEFF_APG,T_HYDRA,RV_HYDRA,RV_HYDRA_ER,RV_WIYN,VRAD,VRAD_ER,RV_PROB,P5D-PM-POS-PLX,P4D-PM-POS,P3D-PM-PLX,P5D-NF,P4D-NF,P3D-NF,MEMBER_STATUS,PROB_GAUDIN,P5D-PM-POS-PLX,TYPE_SACHS,POPULATION_STUDY_SACHS,VSTAR_SACHS,SACHS_NOTES,OTHER_ID,REF_SACHS
101,Rotational,,nokic,,Gaia EDR3 2051297516106367232,Gaia EDR3 2051297516106367232,05870_3,LON,nd1,rotating,?,MS,2.649314317,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_101.png,https://drive.google.com/file/d/1FwCwAgzg_2fRHc_YOn5ayxG6ON14EFxH/view?usp=sharing,https://drive.google.com/file/d/1vl1vo7jVmxZV8Yq3nrrBjeVFa3HzHOFa/view?usp=sharing,19:20:37.40 +37:52:57.3,290.1558333,37.88258333,7.71,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.15583333333336%2037.882583333333336,2051297516106367232,0.3774561567,nan,nan,nan,nan,nan,nan,,21.041393,1.9652863,null,null,null,nan,nan,20.001,0.0364,18.959,0.0235,16.8159,0.004507,15.9245,0.004372,15.5711,0.002897,15.435,0.003472,15.28,0.004373,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,,,,,,?,,0,,,,nil,,
102,Rotational,2707692,nodata,new detection,2MASSJ19204451+3755081,Gaia EDR3 2051298031507519616,,,,rotating,field,below RGB,2.49766416,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_102.png,https://drive.google.com/file/d/1FnRu3RLW8QTcvPc4RkBKU_nS1bKSo4wD/view?usp=sharing,https://drive.google.com/file/d/1CcliX1F3ygYRr952xsjs_pflh-6E5gKn/view?usp=sharing,19:20:44.59 +37:55:07.3,290.1857917,37.91869444,9.07,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.18579166666666%2037.91869444444445,2051298031507519616,0.4003740839,0.03988560332,0.24096575,-0.8423286259,0.2931867,1.596928575,0.23806134,nan,19.375525,2.3003292,15.96,15.37,15.123,nan,nan,20.911,0.1661,17.848,0.0133,18.8286,0.014559,18.1115,0.013539,17.83,0.016578,17.7919,0.01123,17.7339,0.01314,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,,,1.15E-50,2.54E-08,2.31E-52,field,,0,,,,,,
103,Rotational,,nokic,new detection,Gaia EDR3 2051295007845583744,Gaia EDR3 2051295007845583744,,,,rotating,?,below EHB,1.79860552,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_103.png,https://drive.google.com/file/d/13_4EVmh7KfkX6ABb89j662vijqrYSmjN/view?usp=sharing,https://drive.google.com/file/d/1eL3SxtDJoLrXowrpmwuf4xN4kt8tagcY/view?usp=sharing,19:20:48.06 +37:54:14.7,290.20025,37.90408333,8.04,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.20025%2037.90408333333333,2051295007845583744,0.5559862843,nan,nan,nan,nan,nan,nan,,21.10235,0.38535118,14.706,14.425,14.312,nan,nan,15.897,0.0225,15.106,0.0062,18.8383,0.008761,18.1471,0.008125,17.7825,0.011752,17.6022,0.004567,17.4736,0.012004,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,,,,,,?,,0,,,,Faint star Affected by  the large star nearby,,
104,Rotational,2707771,nodata,new detection,2MASSJ19204811+3754458,Gaia EDR3 2051297962788050816,,,,rotating,field,MS,0.728403,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_104.png,https://drive.google.com/file/d/1VEo1x0S3_JCkhMWSFv3pgtHHRpHR7ihn/view?usp=sharing,https://drive.google.com/file/d/1zBO2aX_koW4EDzgAW8_tayjdthvxB7FT/view?usp=sharing,19:20:48.14 +37:54:46.1,290.2005833,37.91280556,8.56,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.2005833333333%2037.912805555555565,2051297962788050816,1.372866394,-4.536193362,0.101773836,-7.956810931,0.120365515,0.06330412725,0.09462555,-0.024339,18.020891,1.2723541,16.287,15.717,14.913,nan,nan,18.402,0.0244,17.126,0.0071,18.8383,0.008761,18.1471,0.008125,17.7825,0.011752,17.6022,0.004567,17.4736,0.012004,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,0.00E+00,,0,0,0,field,,0,,,,modes suspecting,,
105,Rotational,2707858,nodata,new detection,2MASSJ19205368+3755598,Gaia EDR3 2051299474616582912,,,,rotating,field,below RGB,0.913627,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_105.png,https://drive.google.com/file/d/1TzLUJcgPqo4xsYGcCsTlkXMQD27IKFP2/view?usp=sharing,https://drive.google.com/file/d/1gJBY0Xvlsxu04pSwixrpBd9At429ckZ5/view?usp=sharing,19:20:53.66 +37:55:59.5,290.2235833,37.93319444,9.69,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.2235833333333%2037.93319444444445,2051299474616582912,1.094538581,0.09253037816,0.9119503,-2.616617872,1.221787,1.810963806,0.92543525,-0.03867,20.075739,2.6057568,16.733,16.142,15.982,nan,nan,21.013,0.125,18.34,0.0158,21.705,0.074248,20.3233,0.006565,19.0682,0.008633,18.455,0.012797,18.1443,0.010421,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,5537.5303,nan,nan,nan,,,,,,,nan,,,,1.77E-50,0.1054752281,3.45E-52,field,,0,,,,,,
106,Rotational,2707961,nodata,,Gaia EDR3 2051296652817037056,Gaia EDR3 2051296652817037056,01908_3,LON,m?,rotating,field,MS,8.004397,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_106.png,https://drive.google.com/file/d/1BxZxGWGvGvctKgwgmv7FBF5ZtvO3Gvjv/view?usp=sharing,https://drive.google.com/file/d/1IOYbBYgP85SDZL-q1P6xaiLXiqshHi5Y/view?usp=sharing,19:20:59.48 +37:56:49.4,290.2478333,37.94705556,10.65,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.24783333333335%2037.947055555555565,2051296652817037056,0.1249313346,-0.9453714995,0.17013858,-5.161229744,0.20936726,0.4115625349,0.17645364,-0.016458,18.949265,1.2659912,null,null,null,nan,nan,17.5,nan,nan,nan,19.7156,0.006158,18.9386,0.007541,18.6427,0.016597,18.4773,0.008833,18.3982,0.017294,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,1.06E-73,5.88E-61,8.10E-72,7.67E-67,1.82E-59,1.88E-65,field,,1.06E-73,,,,twin stars near by,,
107,Rotational,2569431,nodata,new detection,2MASSJ19204107+3751590,Gaia EDR3 2051294492454406272,,,,rotating,field,MS/BS,2.488201,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_107.png,https://drive.google.com/file/d/1HyBx7EgcIqesDyJFvj7ZERSEPON0BtyO/view?usp=sharing,https://drive.google.com/file/d/1Xdqo318vd3phb1adi_GmWrWF9HkuqEQK/view?usp=sharing,19:20:41.08 +37:51:58.9,290.1711667,37.86636111,6.42,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.1711666666667%2037.86636111111111,2051294492454406272,0.4018967921,-0.8089350106,0.047344305,-7.847578353,0.05556818,0.2892731774,0.048374288,-0.026054,17.006645,0.8775959,15.967,15.576,15.371,17.883,0.0063,17.225,0.019,16.458,0.0372,17.4129,0.006248,17.0182,0.003788,16.8658,0.0054,16.8194,0.006063,16.7601,0.006381,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,3.80E-281,1.68E-230,9.07E-279,6.71E-252,1.42E-223,3.98E-248,field,,3.80E-281,,,,beating kk,,
108,Rotational,2569467,nodata,,2MASSJ19204214+3752337,Gaia EDR3 2051294870413630208,05014_3,LON,m?,rotating,field,RGB,9.780565795,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_108.png,https://drive.google.com/file/d/1BShqsQV838C-SX1KwhZKb0QdwUgz3reA/view?usp=sharing,https://drive.google.com/file/d/17W_zFvzOPQFxVs37v5G2klADo2w6NLbP/view?usp=sharing,19:20:42.10 +37:52:33.5,290.1754167,37.87597222,6.83,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.17541666666665%2037.87597222222223,2051294870413630208,0.1022435737,4.855337979,0.029384524,0.9295238743,0.033121005,1.365290283,0.02895539,-0.027723,15.96539,1.3744087,14.185,13.639,13.608,nan,nan,16.329,0.0193,15.101,0.0046,16.8159,0.004507,15.9245,0.004372,15.5711,0.002897,15.435,0.003472,15.28,0.004373,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,,,0.00E+00,4.30E-191,0,field,,0,,,,Twins,,
109,Rotational,2569591,nodata,,2MASSJ19204552+3752151,Gaia EDR3 2051294797390943872,04392_3,LON,m,rotating,cluster,MS,14.89254,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_109.png,https://drive.google.com/file/d/1hD3YFUVI2Lm-C_dhtr2gNwxz75waWlJu/view?usp=sharing,https://drive.google.com/file/d/1o88ibB6V6VF_J3bQ26Fvryq6i6dSioHq/view?usp=sharing,19:20:45.53 +37:52:13.8,290.1897083,37.8705,6.22,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.18970833333333%2037.8705,2051294797390943872,0.06714771288,-0.4549267946,0.06968058,-2.290848374,0.08178255,0.16404664,0.06878713,-0.026591,17.67936,1.0770893,16.293,16.104,15.846,18.776,0.0102,17.892,0.002,16.958,0.0033,18.2576,0.012702,17.6733,0.008344,17.4586,0.004808,17.3866,0.007522,17.3051,0.010377,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,5631.393,nan,nan,nan,,,,,,,nan,0.9989478145,0.9975070861,0.9980252814,0.9878929283,0.9777035335,0.9884607372,cluster,1,0.9989478145,,,,,,
110,Pulsating,2569850,nodata,new detection,Gaia EDR3 2051294934839887872,Gaia EDR3 2051294934839887872,,,,RRLyr/BLBoo,field,MS,0.462511,,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/04/qphase_110.png,https://drive.google.com/file/d/19lAWcyisTbK0VuNQfBzKmaVsUlKxwdK6/view?usp=sharing,https://drive.google.com/file/d/1IuwpZW13Wg2_V7IiUrzG2gDkFKpOBAte/view?usp=sharing,19:20:51.62 +37:53:24.3,290.2150833,37.89008333,7.11,,,http://aladin.u-strasbg.fr/AladinLite/?target=290.2150833333333%2037.890083333333344,2051294934839887872,2.162110739,0.3404152118,0.5441032,0.8129648193,0.6399237,0.4998383812,0.5230536,-0.050842,20.425446,1.8677444,null,null,null,nan,nan,19.58,0.0368,18.047,0.0092,19.8509,0.01153,19.0274,0.012253,18.7326,0.012072,18.5958,0.015291,18.4597,0.015304,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,nan,,,,5.03E-80,4.54E-68,1.34E-79,field,,0,,,,twins,,
