ID,TENTATIVE_TYPE,KIC,KIC_STATUS,NEW DETECTION,NAME,GAIA_ID,LITERATURE,MEMBER,VAR,VAR_REF,CMD,PERIOD,Q_PHASED,PHASED_LC,FT,COORDINATES,RA,DEC,DIST,Peph,Teph,EPH,GAIA_DR3_RV,GAIA_DR3_RV_ERR,LINK,FREQUENCY,PLX,PLXERR,PMRA,PMRAERR,PMDEC,PMDECERR,BP_RP,BPRP_EXCESS,GMAG,J_M,H_M,K_M,I_ROSVIK,IERR_ROSVIK,Vmag,e_Vmag,U_B,e_U_B,B_V,e_B_V,V_Milliman,VI_Miliiman,g,gerr,r,rerr,i,ierr,z,zerr,y,yerr,NOTES,USED_SPEC,Teff,logg,Rv,Fe/H,PETERS fits,NOT,APOGEE,LAMOST6_id,HECTOSPEC,APO35,XT_Teff,XT_Tefferr,XT_logg,XT_loggerr,XT_Rv,XT_Rverr,[M/H],XT_class,WOCS_XXIV,WOCS_LX,CLASS,TEFF,DR2_TEFF,DR2_LOGG,DR2_RV,DR2_RVERR,RV_HOLE,RV_HOLE_ER,RV_LEE,RV_LEE_ER,RV_PLASTIAS,RV_PLASTIAS_ER,RV_MILLIMAN,RV_MILLIMAN_ER,RV_GAO,RV_GAO_ER,RV_PROB,P5D-PM-POS-PLX,P4D-PM-POS,P3D-PM-PLX,P5D_nf,P4D_nf,P3D_nf,REF
2,Binary,,nokic,new detection,19 41 0.81 +40 18 20.35,,,?,binary,NEW,?,0.234188188,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_002.png,https://drive.google.com/file/d/1S1S_1HNPp1HSE80omiD5H0HE8QWtHEWg/view?usp=sharing,https://drive.google.com/file/d/1NaHRm1QFFJ9Ru1jfp5v4Ax-sfpc_lxjk/view?usp=sharing,19 41 0.81 +40 18 20.35,295.2533608,40.3056534,,0.2341880(5),2454964.6810(19),T = (0.23418798862859166 +/- 5.254778510216234e-07)*E + (2454964.6810316797 +/- 0.0018502951526716475),,,http://aladin.u-strasbg.fr/AladinLite/?target=295.2533608%2040.3056534,4.270070189,,,,,,,,,,16.583,16.023,16.599,null,null,,,,,,,,,,,,,21.0889,0.0337,20.2444,0.0563,19.8286,0.1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,WUMa wtype tough oc
3,Rotational,5112059,nodata,new detection,[PGM2013] 797367,Gaia DR3 2076489148574565888,,cluster,rotating,NEW,MS,22.300879,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_003.png,https://drive.google.com/file/d/1db63_x4oDWJSh84REb0yhgdW-AGcu0TJ/view?usp=sharing,https://drive.google.com/file/d/1L0CkM5qUNHGuuVuRiHu_rc0KFfzJhsdQ/view?usp=sharing,19 40 55.42 +40 17 27.92,295.2309309,40.29108831,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2309309%2040.29108831,0.04484128182,0.4052341343,0.07898974,-2.84560855,0.0877011,-3.689994266,0.09952323,1.1833878,1.2127676,17.900526,16.444,16.185,16.516,null,null,18.211,0.007,0.653,0.059,0.964,0.013,,,18.5643,0.0051,17.8784,0.0049,17.6201,0.0038,17.5151,0.0041,17.4311,0.0119,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,0.9707418357,0.9400713551,0.9810684549,0.9707418357,0.9400713551,0.9810684549,
4,Binary,,nokic,,Cl* NGC 6819 SHLP 25645,,,?_field_Plastias13,contact,ST05,?,0.2734131361,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_004.png,https://drive.google.com/file/d/1X4MGkby4tx0jg4QDlPrykIer4jKr-TPs/view?usp=sharing,https://drive.google.com/file/d/1CrhLVtmWp2EiE1T8OzqsUlw0bNohTdQ1/view?usp=sharing,19 40 57.99 +40 19 0.3,295.241625,40.31675,,0.27341359(26),2454964.8998(7),T = (0.27341359180411867 +/- 2.6397208584239935e-07)*E + (2454964.8998148968 +/- 0.0007069357769171979),,,http://aladin.u-strasbg.fr/AladinLite/?target=295.241625%2040.31675,3.657468746,,,,,,,,,,null,null,null,null,null,,,,,,,,,21.8798,0.0063,21.5381,0.0443,21.4685,0.0936,19.1875,0,,,EB WUMA,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,,,,,,,WUMa wtype tough oc https://academic.oup.com/mnras/article/358/3/795/1026583
5,Rotational,,nokic,,V* V2382 Cyg,Gaia DR3 2076489006828963200,,field,rotating_BY Dra_vsx,ST02,below MS,4.219472,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_005.png,https://drive.google.com/file/d/1BK1bd4uOS1EeI01gefvbYZfBDcjmOiUE/view?usp=sharing,https://drive.google.com/file/d/1phQgDL3weCaKAAWPKhoH9ZC16yuoX60Z/view?usp=sharing,19 40 48.43 +40 16 19.3,295.2017917,40.27202778,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2017917%2040.27202778,0.2369964773,0.27555619,0.42898968,-0.3063844672,0.49662104,-1.64922227,0.5154268,1.4229755,1.3673391,20.191475,null,null,null,null,null,,,,,,,,,21.1775,0.0391,20.1974,0.0189,19.8416,0.0335,19.6143,0.0291,19.4763,0.0538,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,,,,2.77E-94,8.04E-73,1.52E-90,
6,Rotational,5111748,nodata,new detection,2MASS J19403862+4016336,Gaia DR3 2076491656835399552,,field,rotating,NEW,MS,2.253426,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_006.png,https://drive.google.com/file/d/1Hr2hxqiEDq1UaNOlM05IN0QPRIeNDbFw/view?usp=sharing,https://drive.google.com/file/d/1Up344G5TVIExTWteSQHP8FSNUbO_5UFm/view?usp=sharing,19 40 38.63 +40 16 33.57,295.160958,40.27599131,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.160958%2040.27599131,0.4437687326,0.5963567088,0.018399628,-0.8080269354,0.02035011,-6.175920337,0.020769512,0.7709389,1.2089185,14.809425,13.782,13.56,13.562,null,null,14.907,0.003,-0.008,0.005,0.533,0.004,14.95,0.69,15.1523,0.0017,14.805,5.00E-04,14.7067,0.0042,14.6905,0.003,14.6569,0.0023,crowded 6+35+20,,,,,,,,,,,,,,,,,,,,19018,19018,,nan,,,,,15.25,0.52,,,15.25,0.52,15.25,0.52,,,0.6347665998,3.24E-119,2.31E-91,8.35E-115,3.24E-119,2.31E-91,8.35E-115,
7,Binary,5199669,nodata,new detection,2MASS J19405767+4018075,Gaia DR3 2076489182934321920,,field,contact,Heinze18,MS,0.758954,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_007.png,https://drive.google.com/file/d/1hF7raAY4k89QKz_KNE22du9lBbYbpdqS/view?usp=sharing,https://drive.google.com/file/d/1tQf9zNXJGTyzZXZ-0yvjTGlpAOH-oABX/view?usp=sharing,19 40 57.68 +40 18 7.44,295.2403189,40.30206604,,0.758956896(42),2454964.903723(46),T = (0.758956896391379 +/- 4.240624626886709e-08)*E + (2454964.9037229926 +/- 4.610301950284091e-05),nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2403189%2040.30206604,1.317602911,0.2129963437,0.021581179,-0.8800159134,0.02578842,-3.028546358,0.024833249,0.7038107,1.1787242,15.226411,14.532,14.354,14.161,null,null,15.272,0.004,-0.035,0.006,0.383,0.004,15.5,0.65,15.6111,0.0136,15.1897,0.009,15.1605,0.0026,15.0672,0.009,15.2543,0.0214,,,,,,,,,,,,,,,,,,,,,,31015,,nan,,,,,-84.11,0.4,,,-84.11,0.4,-84.11,0.4,,,0.09012242729,8.13E-53,5.21E-42,1.44E-50,8.13E-53,5.21E-42,1.44E-50,WUMa a type Flat bottom
10,Rotational,,nokic,new detection,GAIA DR2 2076488972469006720,Gaia DR3 2076488972469006720,,field,rotating,NEW,below MS,4.352292,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_010.png,https://drive.google.com/file/d/1m4QqUjcGHsIBYqnEN1SHsIgoP1BPwMRw/view?usp=sharing,https://drive.google.com/file/d/1LUggzd9gGKM6sju0Gktlqnbu4r9SUXf2/view?usp=sharing,19 40 58.28 +40 17 38.09,295.2428458,40.29391466,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2428458%2040.29391466,0.2297639956,0.101795581,0.21727555,-2.973678983,0.24915229,-5.294739735,0.28769842,0.9924145,1.1847835,19.439415,null,null,null,null,null,19.708,0.02,0.231,0.134,0.766,0.038,,,19.9461,0.0118,19.4534,0.0118,19.2596,0.0252,19.1912,0.035,19.0977,0.033,,,,,,,,,,,,,,,,,,,,,,,,nan,5000,3,-30.31562,0.8551843,,,,,,,,,,,nan,,6.86E-15,,7.20E-19,6.86E-15,4.79E-18,
11,Pulsating,5199605,2lc,,KIC 5199605,Gaia DR3 2076489251653787904,,field,solar-like,Balona13,above RC,0.187,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_011.png,,,19 40 54.2 +40 18 15.97,295.2258357,40.30443665,,,,,-31.673122,0.33696902,http://aladin.u-strasbg.fr/AladinLite/?target=295.2258357%2040.30443665,5.347593583,1.006975086,0.011057975,-7.387143419,0.012752207,1.71267266,0.0124978125,1.3843546,1.2496921,11.4962635,9.737,9.166,9.017,null,null,,,,,,,11.79,1.38,12.536,,11.652,,11.246,,11.001,,10.869,,Solar like,APOGEE,4250(10),2.998(4),82.4(3),-0.215(0.059),https://xtgrid.astroserver.org/UZGYA4_306_Q0R63M_011_apStar-r8-2M19405420+4018159_dat.php?ref=Q0R63M,,http://skyserver.sdss.org/dr12/en/tools/explore/summary.aspx?apid=2M19405420+4018159,,,,,,,,,,,,3016,3016,,nan,,,,,-31.99,0.26,,,-31.99,0.26,-31.99,0.26,,,0.8652128594,,,,0,0,0,
13,Rotational,5111658,nodata,new detection,GAIA DR2 2076491588108521600,Gaia DR3 2076491588108521600,,field,rotating,NEW,MS,11.236285,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_013.png,https://drive.google.com/file/d/1UyY9ebs2pZne2_1emYCPRCWwmZwfTBnx/view?usp=sharing,https://drive.google.com/file/d/1k6YAKs6dUvOaxKg24Se-VP9l9lsQR8BW/view?usp=sharing,19 40 33.67 +40 15 52.41,295.1402952,40.26455942,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.1402952%2040.26455942,0.08899738659,0.1532700678,0.11604535,-1.53845724,0.1311749,-2.729608373,0.14633693,1.3249226,1.4308685,18.43112,14.126,13.456,13.364,null,null,,,,,,,,,19.223,0.0131,18.4001,0.0125,18.0631,0.0084,17.909,0.018,17.7634,0.0167,overlap 42,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,nan,,5.35E-25,,7.07E-27,5.35E-25,1.09E-25,
15,Rotational,5199564,nodata,,Cl* NGC 6819 SHLP 26162,Gaia DR3 2076489212987407872,,field,rotating_lpv_vsx,ST05,below AGB,3.46119,https://ardastella.up.krakow.pl/wp-content/uploads/sites/18/2021/05/qphase_015.png,https://drive.google.com/file/d/1IoujvgqT5dCot4lRpI3Nf61e6FGLqhi9/view?usp=sharing,https://drive.google.com/file/d/1kt5IECP2qvGd5lSmJ9IwX1UEN9U0eF-Y/view?usp=sharing,19 40 51.65 +40 18 19.74,295.2151905,40.30548457,,,,,nan,nan,http://aladin.u-strasbg.fr/AladinLite/?target=295.2151905%2040.30548457,0.2889179733,2.682464709,0.16021198,-2.442834254,0.17669168,-4.676999149,0.19070785,2.7920055,1.484833,18.809298,15.868,15.102,14.882,null,null,20.309,0.036,,,2.089,0.151,,,20.9216,0.0141,19.5329,0.0143,18.0685,0.0132,17.4109,0.0131,17.0813,0.0046,,,,,,,,,,,,,,,,,,,,,,,,5745,,,,,,,,,,,,,,,nan,,,,0.00E-02,5.05E-06,0.00E-02,
